Airline,Source,Destination,Duration,Total stops,Price,Departure Hour,Departure Min,Arrival Hour,Arrival Min
Air India,BOM,CCU,2.83,0,7700,6,0,8,50
IndiGo,BOM,CCU,2.5,0,7789,7,50,10,20
IndiGo,BOM,CCU,2.58,0,7789,12,55,15,30
Vistara,BOM,CCU,2.67,0,8127,7,0,9,40
Vistara,BOM,CCU,2.83,0,8127,14,5,16,55
IndiGo,BOM,CCU,2.58,0,7789,9,50,12,25
IndiGo,BOM,CCU,2.75,0,7789,6,25,9,10
IndiGo,BOM,CCU,2.92,0,7789,19,25,22,20
IndiGo,BOM,CCU,2.58,0,7951,17,35,20,10
GoFirst,BOM,CCU,2.75,0,5719,21,45,0,30
IndiGo,BOM,CCU,2.58,0,7789,22,40,1,15
Air India,BOM,CCU,2.75,0,9423,21,5,23,50
GoFirst,BOM,CCU,2.67,0,5987,5,50,8,30
Air India,BOM,CCU,2.83,0,6472,6,0,8,50
GoFirst,BOM,CCU,2.67,0,5987,5,50,8,30
Vistara,BOM,CCU,2.67,0,6896,7,0,9,40
SpiceJet,BOM,CCU,2.75,0,6081,6,10,8,55
SpiceJet,BOM,CCU,2.75,0,6081,20,50,23,35
IndiGo,BOM,CCU,2.5,0,6578,7,50,10,20
Vistara,BOM,CCU,2.83,0,7550,14,5,16,55
IndiGo,BOM,CCU,2.75,0,6531,6,25,9,10
IndiGo,BOM,CCU,2.92,0,6531,19,25,22,20
IndiGo,BOM,CCU,2.58,0,7150,9,50,12,25
IndiGo,BOM,CCU,2.58,0,7150,17,35,20,10
IndiGo,BOM,CCU,2.58,0,7150,12,55,15,30
GoFirst,BOM,CCU,2.75,0,6086,21,45,0,30
IndiGo,BOM,CCU,2.58,0,6531,22,40,1,15
Air India,BOM,CCU,2.75,0,11742,21,5,23,50
IndiGo,BOM,CCU,2.58,0,7113,22,40,1,15
Air India,BOM,CCU,2.83,0,6478,6,0,8,50
GoFirst,BOM,CCU,2.67,0,6086,5,50,8,30
IndiGo,BOM,CCU,2.5,0,7100,7,50,10,20
IndiGo,BOM,CCU,2.75,0,7100,6,25,9,10
SpiceJet,BOM,CCU,2.75,0,7115,6,10,8,55
IndiGo,BOM,CCU,2.58,0,7720,9,50,12,25
Vistara,BOM,CCU,2.67,0,8547,7,0,9,40
SpiceJet,BOM,CCU,2.75,0,7919,20,50,23,35
IndiGo,BOM,CCU,2.58,0,8649,12,55,15,30
IndiGo,BOM,CCU,2.58,0,8649,17,35,20,10
IndiGo,BOM,CCU,2.92,0,8649,19,25,22,20
GoFirst,BOM,CCU,2.75,0,6347,21,45,0,30
IndiGo,BOM,CCU,2.58,0,6888,22,40,1,15
Air India,BOM,CCU,2.75,0,9407,21,5,23,50
Vistara,BOM,CCU,2.83,0,13272,14,5,16,55
GoFirst,BOM,CCU,2.75,0,6788,21,45,0,30
Air India,BOM,CCU,2.83,0,6923,6,0,8,50
GoFirst,BOM,CCU,2.75,0,6788,21,45,0,30
Vistara,BOM,CCU,2.67,0,8547,7,0,9,40
SpiceJet,BOM,CCU,2.75,0,7852,20,50,23,35
SpiceJet,BOM,CCU,2.75,0,7852,6,10,8,55
IndiGo,BOM,CCU,2.75,0,8649,6,25,9,10
IndiGo,BOM,CCU,2.92,0,8649,19,25,22,20
IndiGo,BOM,CCU,2.5,0,9578,7,50,10,20
IndiGo,BOM,CCU,2.58,0,9578,17,35,20,10
IndiGo,BOM,CCU,2.58,0,9578,12,55,15,30
IndiGo,BOM,CCU,2.58,0,9606,9,50,12,25
IndiGo,BOM,CCU,2.58,0,7100,22,40,1,15
GoFirst,BOM,CCU,2.67,0,7209,5,50,8,30
IndiGo,BOM,CCU,2.58,0,8097,21,5,23,40
Air India,BOM,CCU,2.75,0,10363,21,5,23,50
Vistara,BOM,CCU,2.83,0,20307,14,5,16,55
SpiceJet,BOM,CCU,2.75,0,7115,20,50,23,35
Vistara,BOM,CCU,2.58,0,8543,17,20,19,55
SpiceJet,BOM,CCU,2.75,0,7115,20,50,23,35
Air India,BOM,CCU,2.83,0,7700,6,0,8,50
Vistara,BOM,CCU,2.67,0,8418,7,0,9,40
Vistara,BOM,CCU,2.83,0,8553,14,5,16,55
IndiGo,BOM,CCU,2.75,0,7789,19,10,21,55
SpiceJet,BOM,CCU,2.75,0,7919,6,10,8,55
IndiGo,BOM,CCU,2.5,0,8698,7,50,10,20
IndiGo,BOM,CCU,2.58,0,8698,17,35,20,10
IndiGo,BOM,CCU,2.58,0,8698,9,50,12,25
IndiGo,BOM,CCU,2.58,0,8698,12,55,15,30
IndiGo,BOM,CCU,2.75,0,8698,6,25,9,10
IndiGo,BOM,CCU,2.58,0,7183,22,40,1,15
Air India,BOM,CCU,2.75,0,8405,21,5,23,50
GoFirst,BOM,CCU,2.75,0,8041,21,45,0,30
GoFirst,BOM,CCU,2.67,0,8166,5,50,8,30
SpiceJet,BOM,CCU,2.75,0,6294,6,10,8,55
Vistara,BOM,CCU,2.58,0,6919,17,20,19,55
IndiGo,BOM,CCU,2.92,0,5643,19,25,22,20
IndiGo,BOM,CCU,2.58,0,6481,17,35,20,10
Air India,BOM,CCU,2.83,0,6923,6,0,8,50
Vistara,BOM,CCU,2.67,0,7085,7,0,9,40
SpiceJet,BOM,CCU,2.75,0,6224,6,10,8,55
SpiceJet,BOM,CCU,2.75,0,6224,20,50,23,35
IndiGo,BOM,CCU,2.5,0,7100,7,50,10,20
IndiGo,BOM,CCU,2.58,0,7100,9,50,12,25
IndiGo,BOM,CCU,2.75,0,7100,6,25,9,10
IndiGo,BOM,CCU,2.58,0,7720,12,55,15,30
Vistara,BOM,CCU,2.83,0,8472,14,5,16,55
GoFirst,BOM,CCU,2.67,0,6086,5,50,8,30
GoFirst,BOM,CCU,2.75,0,6086,21,45,0,30
IndiGo,BOM,CCU,2.58,0,6481,22,40,1,15
IndiGo,BOM,CCU,2.58,0,6819,21,5,23,40
IndiGo,BOM,CCU,5.25,1,6588,17,15,22,30
IndiGo,BOM,CCU,5.5,1,6588,17,10,22,40
IndiGo,BOM,CCU,5.5,1,7260,13,55,19,25
AirAsia India,BOM,CCU,5.08,1,7431,19,45,0,50
Vistara,BOM,CCU,5.17,1,9167,17,35,22,45
Air India,BOM,CCU,2.75,0,10363,21,5,23,50
IndiGo,BOM,CCU,5.75,1,6588,5,20,11,5
IndiGo,BOM,CCU,6.08,1,6588,11,10,17,15
IndiGo,BOM,CCU,6.17,1,6588,12,20,18,30
IndiGo,BOM,CCU,6.42,1,6588,16,5,22,30
IndiGo,BOM,CCU,6.67,1,6588,15,0,21,40
